year,constituency,constituency_type,candidates,party,vote_count,vote_percentage
1963,MOUNTBATTEN,na,Mrs. Leon-Soh,Independent,1053,0.0666
1963,NEE SOON,na,Chan Sun Wing,BS,4914,0.5133
1963,NEE SOON,na,Goh Soo Ming,UPP,864,0.0902
1963,NEE SOON,na,How Kang Yong,PAP,3329,0.3477
1963,NEE SOON,na,Lim Siak Guan,Independent,103,0.0108
1963,NEE SOON,na,Yeo Teo Bok,SA,364,0.038
1963,PASIR PANJANG,na,Ahmad b.Rahmat,SA,1351,0.2126
1963,PASIR PANJANG,na,Othman b. Wok,PAP,2879,0.453
1963,PASIR PANJANG,na,Tay Cheng Kang,BS,1887,0.2969
1963,PASIR PANJANG,na,Yong Ah Kau,UPP,238,0.0375
1963,PAYA LEBAR,na,Goh Yeow Dek,SA,415,0.0324
1963,PAYA LEBAR,na,Kow Kee Seng,BS,6152,0.4796
1963,PAYA LEBAR,na,Tan Kia Gan,PAP,5402,0.4211
1963,PAYA LEBAR,na,Yeo Keng Wee,UPP,858,0.0669
1963,PUNGGOL,na,Koh Chit Kiang,BS,2860,0.2893
1963,PUNGGOL,na,Lee Jiak Seck,UPP,984,0.0996
1963,PUNGGOL,na,Ng Kah Ting,PAP,4721,0.4776
1963,PUNGGOL,na,Tan Jin Hong,SA,1320,0.1335
1963,QUEENSTOWN,na,Jek Yuen Thong,PAP,8165,0.5281
1963,QUEENSTOWN,na,Lee Ek Chong,BS,5589,0.3615
1963,QUEENSTOWN,na,Lee Khee Loong,SA,798,0.0516
1963,QUEENSTOWN,na,Ng Ho,UPP,909,0.0588
1963,RIVER VALLEY,na,Chung Kit Wong,UPP,455,0.0461
1963,RIVER VALLEY,na,Goh Lam San,BS,2668,0.2701
1963,RIVER VALLEY,na,Lim Cheng Lock,PAP,5597,0.5667
1963,RIVER VALLEY,na,Yap Pheng Geck,SA,1156,0.1171
1963,ROCHORE,na,Lee Siew Choh,BS,4926,0.4475
1963,ROCHORE,na,Pan Tiek Tai,UPP,1067,0.0969
1963,ROCHORE,na,Toh Chin Chye,PAP,5015,0.4556
1963,SEMBAWANG,na,Chen Poh Chang,BS,3591,0.4043
1963,SEMBAWANG,na,Low Seng Wan,UPP,348,0.0392
1963,SEMBAWANG,na,Appavoo P.,SA,1197,0.1348
1963,SEMBAWANG,na,Teong Eng Siong,PAP,3745,0.4217
1963,SEPOY LINES,na,Goh Su Chiang,SA,793,0.0844
1963,SEPOY LINES,na,Ong Chang Sam,BS,3147,0.3351
1963,SEPOY LINES,na,Tan Choon Sing,UPP,545,0.058
1963,SEPOY LINES,na,Wee Toon Boon,PAP,4907,0.5225
1963,SERANGOON GARDENS,na,Choy Kok Wah,SA,455,0.0545
1963,SERANGOON GARDENS,na,R. A. Gonzales,PAP,4456,0.534
1963,SERANGOON GARDENS,na,Ng Hui Sim,BS,2698,0.3233
1963,SERANGOON GARDENS,na,Ng Teo Joo,UPP,736,0.0882
1963,SIGLAP,na,A. Rahim Ishak,PAP,9342,0.6212
1963,SIGLAP,na,Koh Tee Kin,Independent,225,0.015
1963,SIGLAP,na,Ong Jin Teck,UPP,1365,0.0908
1963,SIGLAP,na,Soo Ban Hoe,SA,1488,0.0989
1963,SIGLAP,na,Tay Check Yaw,PRSSD,2618,0.1741
1963,SOUTHERN ISLANDS,na,Ahmad Jabri b. Akib,SA,2224,0.4459
1963,SOUTHERN ISLANDS,na,Yaacob bin Mohamed,PAP,2764,0.5541
1963,STAMFORD,na,Fong Sip Chee,PAP,5781,0.5327
1963,STAMFORD,na,Lim Chung Min,UPP,771,0.071
1963,STAMFORD,na,Lal Behari Singh,SA,582,0.0536
1963,STAMFORD,na,Teo Hock Guan,BS,3719,0.3427
1963,TAMPINES,na,Goh Chew Chua,PAP,3601,0.2913
1963,TAMPINES,na,Liam Tian Seng,UPP,2130,0.1723
1963,TAMPINES,na,Lim Jew Kan,SA,656,0.0531
1963,TAMPINES,na,Poh Ber Liak,BS,5976,0.4833
1963,TANGLIN,na,Ariffin b. Md Said,Independent,166,0.0192
1963,TANGLIN,na,E. W. Barker,PAP,4424,0.5107
1963,TANGLIN,na,Eng Chau Sam,UPP,336,0.0388
1963,TANGLIN,na,Tan Cheow Hock,BS,1997,0.2306
1963,TANGLIN,na,Thio Chan Bee,SA,1738,0.2007
1963,TANJONG PAGAR,na,Chng Boon Eng,SA,393,0.0367
1963,TANJONG PAGAR,na,Lee Kuan Yew,PAP,6317,0.5893
1963,TANJONG PAGAR,na,Lim Peng Kang,UPP,473,0.0441
1963,TANJONG PAGAR,na,Ong Hock Siang,BS,3537,0.3299
1963,TELOK AYER,na,Goh Hong Keng,UPP,1484,0.1212
1963,TELOK AYER,na,Lam Chit Lee,BS,4987,0.4072
1963,TELOK AYER,na,Ong Pang Boon,PAP,5390,0.4401
1963,TELOK AYER,na,Wang Chung Kwang,Independent,385,0.0315
1963,TELOK BLANGAH,na,Abdul Rahman,SA,2627,0.2114
1963,TELOK BLANGAH,na,Jukri b. Parjo,BS,4327,0.3482
1963,TELOK BLANGAH,na,Bernard Rodrigues,PAP,4949,0.3982
1963,TELOK BLANGAH,na,Tan Swee Huat,UPP,525,0.0422
1963,THOMSON,na,Koo Young,BS,5292,0.4917
1963,THOMSON,na,Leo Keng Fong,PAP,4248,0.3947
1963,THOMSON,na,Loo Ka Thiam,UPP,1223,0.1136
1963,TIONG BAHRU,na,Lee Teck Him,PAP,5731,0.4815
1963,TIONG BAHRU,na,Ng Teng Kian,UPP,1088,0.0914
1963,TIONG BAHRU,na,Soon Dit Woo,BS,3798,0.3191
1963,TIONG BAHRU,na,Tan Kok Siong,SA,508,0.0427
1963,TIONG BAHRU,na,William Tan,Independent,777,0.0653
1963,TOA PAYOH,na,Goh Nee Kim,UPP,1501,0.1189
1963,TOA PAYOH,na,Tan Chor Yong,UDP,760,0.0603
1963,TOA PAYOH,na,Wong Soon Fong,BS,6083,0.482
1963,TOA PAYOH,na,Yip Sai Weng,PAP,4276,0.3388
1963,ULU PANDAN,na,Anang b. H. A. Manan,SA,1729,0.1551
1963,ULU PANDAN,na,Chow Chiok Hock,PAP,5000,0.4486
1963,ULU PANDAN,na,Johari bin Sonto,PRSSD,2967,0.2662
1963,ULU PANDAN,na,Ler Chin Tee,UPP,1450,0.1301
1963,UPPER SERANGOON,na,Chia Yang Loong,BS,3547,0.3017
1963,UPPER SERANGOON,na,Lim Choon Mong,Independent,573,0.0487
1963,UPPER SERANGOON,na,Phua Gek Boon,UPP,595,0.0506
1963,UPPER SERANGOON,na,Sia Kah Hui,PAP,6650,0.5656
1963,UPPER SERANGOON,na,Wu Moh Chye,SA,393,0.0334
1968,ALEXANDRA,na,Wong Lin Ken,PAP,na,na
1968,ALJUNIED,na,Mohd. Ghazali Bin Ismail,PAP,na,na
1968,ANSON,na,Govindaswamy Perumal,PAP,na,na
1968,BRAS BASAH,na,Ho See Beng,PAP,na,na
1968,BUKIT HO SWEE,na,Seah Mui Kok,PAP,na,na
1968,BUKIT MERAH,na,Lim Guan Hoo,PAP,na,na
1968,BUKIT PANJANG,na,Selvadurai Pathmanaban,PAP,na,na
1968,BUKIT TIMAH,na,Chor Yeok Eng,PAP,na,na
1968,CAIRNHILL,na,Lim Kim San,PAP,na,na
1968,CHANGI,na,Sim Boon Woo,PAP,na,na
1968,CHUA CHU KANG,na,Tang See Chim,PAP,na,na
1968,CRAWFORD,na,Low Yong Nguan,PAP,na,na
1968,DELTA,na,Chan Choy Siong,PAP,na,na
1968,FARRER PARK,na,Lee Chiaw Meng,PAP,7826,0.8491
1968,FARRER PARK,na,M. P. D. Nair,Independent,1391,0.1509
1968,GEYLANG EAST,na,Ho Cheng Choon,PAP,na,na
1968,GEYLANG SERAI,na,Darus Shariff,Independent,1916,0.1699
1968,GEYLANG SERAI,na,Rahamat b Kenap,PAP,9363,0.8301
1968,GEYLANG WEST,na,Yong Nyuk Lin,PAP,na,na
1968,HAVELOCK,na,Lim Soo Peng,PAP,na,na
1968,HONG LIM,na,Lee Khoon Choy,PAP,na,na
1968,JALAN BESAR,na,Chan Chee Seng,PAP,na,na
1968,JALAN KAYU,na,Hwang Soo Jin,PAP,9581,0.823
1968,JALAN KAYU,na,Sum Chong Meng,WP,2060,0.177
1968,JOO CHIAT,na,Yeoh Ghim Seng,PAP,na,na
1968,JURONG,na,Ho Kah Leong,PAP,na,na
1968,KALLANG,na,Abdul Aziz Karim,PAP,na,na
1968,KAMPONG CHAI CHEE,na,Sha'ari Bin Tadin,PAP,na,na
1968,KAMPONG GLAM,na,Rajaratnam Sinnathamby,PAP,na,na
1968,KAMPONG KAPOR,na,Lim Cheng Lock,PAP,na,na
1968,KAMPONG KEMBANGAN,na,Mohd. Ariff Bin Suradi,PAP,na,na
1968,KAMPONG UBI,na,Tay Mook Yong,Independent,2169,0.1813
1968,KAMPONG UBI,na,Yaacob bin Mohamed,PAP,9797,0.8187
1968,KATONG,na,De Conceicao J. Francis,PAP,na,na
1968,KRETA AYER,na,Goh Keng Swee,PAP,na,na
1968,MACPHERSON,na,Chua Sian Chin,PAP,na,na
1968,MOULMEIN,na,Chia Seong,PAP,9675,0.9056
1968,MOULMEIN,na,T. T. Joseph,Independent,1009,0.0944
1968,MOUNTBATTEN,na,Ng Yeow Chong,PAP,na,na
1968,NEE SOON,na,Ong Soo Chuan,PAP,10442,0.9135
1968,NEE SOON,na,Wong Hong Toy,WP,989,0.0865
1968,PASIR PANJANG,na,Othman Bin Wok,PAP,na,na
1968,PAYA LEBAR,na,Tay Boon Too,PAP,na,na
1968,POTONG PASIR,na,Sellappa Ramaswamy,PAP,na,na
1968,PUNGGOL,na,Ng Kah Ting,PAP,na,na
1968,QUEENSTOWN,na,Jek Yeun Thong,PAP,na,na
1968,RIVER VALLEY,na,Low Guan Onn,PAP,na,na
1968,ROCHORE,na,Toh Chin Chye,PAP,na,na
1968,SEMBAWANG,na,Teong Eng Siong,PAP,na,na
1968,SEPOY LINES,na,Wee Toon Boon,PAP,na,na
1968,SERANGOON GARDENS,na,"Rodrigo, Leonard Peter",PAP,na,na
1968,SIGLAP,na,Abdul Rahim Bin Ishak,PAP,na,na
1968,STAMFORD,na,"Fong Sip Chee, Andrew",PAP,na,na
1968,TAMPINES,na,Phua Bah Lee,PAP,na,na
1968,TANGLIN,na,"Barker, Edmund William",PAP,na,na
1968,TANJONG PAGAR,na,Lee Kuan Yew,PAP,9128,0.9434
1968,TANJONG PAGAR,na,R. Vetrivelu,Independent,548,0.0566
1968,TELOK AYER,na,Ong Pang Boon,PAP,na,na
1968,TELOK BLANGAH,na,Govindasamy s/o N. Naidu,PAP,na,na
1968,THOMSON,na,Ang Nam Piau,PAP,na,na
1968,TIONG BAHRU,na,Ch'ng Jit Koon,PAP,na,na
1968,TOA PAYOH,na,"Cheong Yuen Chee, Eric",PAP,na,na
1968,ULU PANDAN,na,Lee Teck Him,PAP,na,na
1968,UPPER SERANGOON,na,Sia Kah Hui,PAP,na,na
1968,WHAMPOA,na,Buang Bin Omar Junid,PAP,na,na
1972,ALEXANDRA,na,S.A. Hamid,UNF,1427,0.0616
1972,ALEXANDRA,na,Wong Kui Yu,WP,3782,0.1632
1972,ALEXANDRA,na,Wong Lin Ken,PAP,17965,0.7752
1972,ALJUNIED,na,Amir Ali b.Mohamed,UNF,762,0.0424
1972,ALJUNIED,na,Chee Han Tong,PAP,12861,0.7151
1972,ALJUNIED,na,Lim Kang Chew,WP,4360,0.2425
1972,ANSON,na,C. Kunjuraman,UNF,444,0.0657
1972,ANSON,na,P. Govindaswamy,PAP,5027,0.7434
1972,ANSON,na,Tay Kim Oh,WP,1291,0.1909
1972,BOON TECK,na,Lim Thiam Hock,PF,4954,0.3325
1972,BOON TECK,na,Phey Yew Kok,PAP,9947,0.6675
1972,BRAS BASAH,na,Ho See Beng,PAP,na,na
1972,BUKIT BATOK,na,Chai Chong Yii,PAP,9765,0.7378
1972,BUKIT BATOK,na,R. Vetrivelu,UNF,3471,0.2622
1972,BUKIT HO SWEE,na,Chin Tian Choo,BS,2209,0.1932
1972,BUKIT HO SWEE,na,Seah Mui Kok,PAP,7862,0.6877
1972,BUKIT HO SWEE,na,Wee Kia Eng,WP,1361,0.1191
1972,BUKIT MERAH,na,Kho Jiak Hiong,WP,2042,0.1565
1972,BUKIT MERAH,na,Lim Guan Hoo,PAP,9044,0.6933
1972,BUKIT MERAH,na,Said Jali,BS,1958,0.1502
1972,BUKIT PANJANG,na,Lee Yiok Seng,PAP,9527,0.6765
1972,BUKIT PANJANG,na,Leyu Tan Jib,UNF,1060,0.0753
1972,BUKIT PANJANG,na,Tang Song Khiang,WP,3496,0.2482
1972,BUKIT TIMAH,na,Chor Yeok Eng,PAP,9475,0.6678
1972,BUKIT TIMAH,na,K. K. Nair,BS,4714,0.3322
1972,CAIRNHILL,na,Paul Elisha,UNF,1994,0.1908
1972,CAIRNHILL,na,Lim Kim San,PAP,8458,0.8092
1972,CHANGI,na,Normah Yahya,WP,4917,0.292
1972,CHANGI,na,Omar Ninggal,UNF,1412,0.0838
1972,CHANGI,na,Sim Boon Woo,PAP,10512,0.6242
1972,CHUA CHU KANG,na,Ng Ah Chue,BS,5434,0.3764
1972,CHUA CHU KANG,na,Tang See Chim,PAP,9002,0.6236
1972,CRAWFORD,na,Ang Kok Peng,PAP,6040,0.726
1972,CRAWFORD,na,N. M. Abdul Wahid,UNF,714,0.0859
1972,CRAWFORD,na,Wu Kher,WP,1565,0.1881
1972,DELTA,na,Yeo Choo Kok,PAP,9149,0.7072
1972,DELTA,na,Wong Hong Toy,WP,2186,0.169
1972,DELTA,na,A. Rahim,BS,1602,0.1238
1972,FARRER PARK,na,Jeyaretnam J. B.,WP,2668,0.2311
1972,FARRER PARK,na,S. A. Latiff,UNF,354,0.0307
1972,FARRER PARK,na,Lee Chiaw Meng,PAP,8521,0.7382
1972,GEYLANG EAST,na,Ho Cheng Choon,PAP,9692,0.6424
1972,GEYLANG EAST,na,Kum Teng Hock,WP,4951,0.3281
1972,GEYLANG EAST,na,Mohd. Elias Ibrahim,UNF,445,0.0295
1972,GEYLANG SERAI,na,Ahmad Haji Taff,PKMS,4978,0.3975
1972,GEYLANG SERAI,na,Rahmat Bin Kenap,PAP,6711,0.5359
1972,GEYLANG SERAI,na,Rom b. Jaafar,UNF,833,0.0666
1972,GEYLANG WEST,na,Quek Doh Lam,WP,3246,0.3072
1972,GEYLANG WEST,na,Yong Nyuk Lin,PAP,7320,0.6928
1972,HAVELOCK,na,Harbans Singh,BS,2692,0.2735
1972,HAVELOCK,na,Hon Sui Sen,PAP,7151,0.7265
1972,HENDERSON,na,Lai Tha Chai,PAP,6577,0.7443
1972,HENDERSON,na,Wong Wen Nan @ Ong Boon Nam,PF,2260,0.2557
1972,HONG LIM,na,Lee Khoon Choy,PAP,4835,0.7379
1972,HONG LIM,na,Wong Kong Hoa,PF,1717,0.2621
1972,JALAN BESAR,na,Chan Chee Seng,PAP,7794,0.8386
1972,JALAN BESAR,na,Johnnie Ng,UNF,1500,0.1614
1972,JALAN KAYU,na,Damodaran Nair M. P.,WP,5137,0.3686
1972,JALAN KAYU,na,Hwang Soo Jin,PAP,8283,0.5942
1972,JALAN KAYU,na,Ong Seng Kok,UNF,518,0.0372
1972,JOO CHIAT,na,William Cook,UNF,2307,0.1651
1972,JOO CHIAT,na,Yeoh Ghim Seng,PAP,11669,0.8349
1972,JURONG,na,Ho Kah Leong,PAP,10741,0.7643
1972,JURONG,na,Ng Soon Hee,UNF,3312,0.2357
1972,KALLANG,na,Abdul Aziz Karim,PAP,12626,0.7975
1972,KALLANG,na,Sultan Mydin Bin Abdul Hamid,UNF,3205,0.2025
1972,KAMPONG CHAI CHEE,na,Hashim Bin Yadi,WP,2590,0.1819
1972,KAMPONG CHAI CHEE,na,Ng Yang Choo,BS,4188,0.2942
1972,KAMPONG CHAI CHEE,na,Sha'ari Bin Tadin,PAP,7458,0.5239
1972,KAMPONG GLAM,na,Sinnathamby Rajaratnam,PAP,na,na
1972,KAMPONG KAPOR,na,Chng Boon Eng,UNF,2251,0.2685
1972,KAMPONG KAPOR,na,Yeo Toon Chia,PAP,6132,0.7315
1972,KAMPONG KEMBANGAN,na,Kamaruddin Hassan,UNF,1687,0.1004
1972,KAMPONG KEMBANGAN,na,Mohamed Ariff Bin Suradi,PAP,9671,0.5753
1972,KAMPONG KEMBANGAN,na,Othman Abdullah,WP,5451,0.3243
1972,KAMPONG UBI,na,Darus Shariff,UNF,1017,0.072
1972,KAMPONG UBI,na,Rahman Zin,PKMS,5076,0.3594
1972,KAMPONG UBI,na,Ya'acob bin Mohamed,PAP,8030,0.5686
1972,KATONG,na,De Conceicao Joseph Francis,PAP,na,na
1972,KIM KEAT,na,Ong Teng Cheong,PAP,10262,0.74
1972,KIM KEAT,na,W. J. Paglar,UNF,583,0.0421
1972,KIM KEAT,na,Seow Khee Leng,WP,3022,0.2179
1972,KIM SENG,na,Ong Leong Boon,PAP,8178,0.6774
1972,KIM SENG,na,Heng Swee Tong,WP,3895,0.3226
1972,KRETA AYER,na,Goh Keng Swee,PAP,na,na
1972,KUO CHUAN,na,P. Mano,BS,3757,0.2631
1972,KUO CHUAN,na,P. Selvadurai,PAP,10523,0.7369
1972,LENG KEE,na,Ahmad Mattar,PAP,10929,0.6828
1972,LENG KEE,na,N. Logam,UNF,1042,0.0651
1972,LENG KEE,na,Ng Ho,WP,4036,0.2521
1972,MACPHERSON,na,Chua Sian Chin,PAP,10117,0.6876
1972,MACPHERSON,na,Lee Tow Kiat,WP,4597,0.3124
1972,MOULMEIN,na,Cheng Poh Yew,WP,2822,0.2757
1972,MOULMEIN,na,Sia Khoon Seong,PAP,7412,0.7243
1972,MOUNTBATTEN,na,Ng Yeow Chong,PAP,na,na
1972,NEE SOON,na,Ong Soo Chuan,PAP,11636,0.7329
1972,NEE SOON,na,F. S. Yap,UNF,4240,0.2671
1972,PASIR PANJANG,na,Othman Bin Wok,PAP,9209,0.7177
1972,PASIR PANJANG,na,Syed Ahmad Bin Syed Husain,UNF,3623,0.2823
1972,PAYA LEBAR,na,Kow Kee Seng,Independent,1545,0.0859
1972,PAYA LEBAR,na,Tan Poh Seng,WP,5361,0.2982
1972,PAYA LEBAR,na,Tay Boon Too,PAP,11073,0.6159
1972,POTONG PASIR,na,Baptist Ivan Cuthbert,PAP,7772,0.6622
1972,POTONG PASIR,na,Harnek Singh,UNF,573,0.0489
1972,POTONG PASIR,na,Rajaratnam Murugason,WP,3391,0.2889
1972,PUNGGOL,na,Ng Kah Ting,PAP,8215,0.5813
1972,PUNGGOL,na,Ng Teng Kian,Independent,5917,0.4187
1972,QUEENSTOWN,na,Chua Eng Huat,WP,2504,0.1433
1972,QUEENSTOWN,na,Jek Yeun Thong,PAP,14200,0.8124
1972,QUEENSTOWN,na,Lew Ban Huat,UNF,775,0.0443
1972,RIVER VALLEY,na,Tan Eng Liang,PAP,na,na
1972,ROCHORE,na,Lee Siew Choh,BS,4076,0.396
1972,ROCHORE,na,Toh Chin Chye,PAP,6218,0.604
1972,SEMBAWANG,na,Mohd Arif,UNF,2478,0.2264
1972,SEMBAWANG,na,Teong Eng Siong,PAP,8466,0.7736
1972,SEPOY LINES,na,Ho Soo Hock,UNF,2107,0.187
1972,SEPOY LINES,na,Wee Toon Boon,PAP,9160,0.813
1972,SERANGOON GARDENS,na,Rodrigo Leonard Peter,PAP,na,na
1972,SIGLAP,na,Abdul Rahim Ishak,PAP,11456,0.7863
1972,SIGLAP,na,Ariffin Noordin,WP,2529,0.1736
1972,SIGLAP,na,H. M. Yahiya,UNF,584,0.0401
1972,STAMFORD,na,Chiang Seok Keong,WP,1999,0.2823
1972,STAMFORD,na,Fong Sip Chee,PAP,5083,0.7177
1972,TAMPINES,na,Phua Bah Lee,PAP,9049,0.643
1972,TAMPINES,na,Tan Sim Hock,PF,5025,0.357
1972,TANGLIN,na,Barker Edmund William,PAP,na,na
1972,TANJONG PAGAR,na,Lee Kuan Yew,PAP,7542,0.8408
1972,TANJONG PAGAR,na,Leong Mun Kwai,PF,1428,0.1592
1972,TELOK AYER,na,Ng Oh Chew,UNF,1452,0.1602
1972,TELOK AYER,na,Ong Pang Boon,PAP,7612,0.8398
1972,TELOK BLANGAH,na,N. Govindasamy,PAP,7669,0.5792
1972,TELOK BLANGAH,na,M. Ramasamy,UNF,858,0.0648
1972,TELOK BLANGAH,na,Zainul Abiddin Bin Mohd. Shah,WP,4714,0.356
1972,THOMSON,na,Ang Nam Piau,PAP,12378,0.7255
1972,THOMSON,na,Chung Kit Wong,PF,4683,0.2745
1972,TIONG BAHRU,na,Ch'ng Jit Koon,PAP,11991,0.7562
1972,TIONG BAHRU,na,Lee Kah Chit,UNF,894,0.0564
1972,TIONG BAHRU,na,Seow Yong Chew,WP,2972,0.1874
1972,TOA PAYOH,na,Cheong Yuen Chee,PAP,10884,0.7385
1972,TOA PAYOH,na,Tay Cheng Kang,BS,3853,0.2615
1972,ULU PANDAN,na,Ang Kheng Kwan,UNF,3678,0.2817
1972,ULU PANDAN,na,Chiang Hai Ding,PAP,9378,0.7183
1972,UPPER SERANGOON,na,Lim Kia Joo,UNF,3401,0.2228
1972,UPPER SERANGOON,na,Sia Kah Hui,PAP,11862,0.7772
1972,WHAMPOA,na,Phang Juet Haw,PF,2395,0.2145
1972,WHAMPOA,na,"Tan Hui Heng, Augustine",PAP,8773,0.7855
1976,ALEXANDRA,na,Chua Boon Eng Edward,WP,3941,0.241
1976,ALEXANDRA,na,Tan Soo Khoon,PAP,12413,0.759
1976,ALJUNIED,na,Chin Harn Tong,PAP,12230,0.7488
1976,ALJUNIED,na,Lim Kang Chew,WP,4103,0.2512
1976,ANG MO KIO,na,Yeo Toon Chia alias Yeo Toon Chang,PAP,na,na
1976,ANSON,na,Perumal Govindaswamy,PAP,na,na
1976,BEDOK,na,Sha'ari bin Tadin,PAP,7928,0.7378
1976,BEDOK,na,Sim Peng Kim,UF,2818,0.2622
1976,BOON LAY,na,Ngeow Pack Hua,PAP,11749,0.7982
1976,BOON LAY,na,V Joseph,SJP,2970,0.2018
1976,BOON TECK,na,Ng Seng Chua,BS,4958,0.2808
1976,BOON TECK,na,Phey Yew Kok,PAP,12698,0.7192
1976,BRADDELL HEIGHTS,na,Lee Khoon Choy,PAP,na,na
1976,BRICKWORKS,na,Ahmad Mattar,PAP,9871,0.7399
1976,BRICKWORKS,na,Tung Tao-Chang alias Shums,UF,3470,0.2601
1976,BUKIT BATOK,na,Chai Chong Yii,PAP,12216,0.8457
1976,BUKIT BATOK,na,Sulaiman bin Jaffar,SJP,2229,0.1543
1976,BUKIT HO SWEE,na,Hwang Ban Cheong,UF,3407,0.265
1976,BUKIT HO SWEE,na,Seah Mui Kok,PAP,9451,0.735
1976,BUKIT MERAH,na,Lim Guan Hoo,PAP,12775,0.7637
1976,BUKIT MERAH,na,Wong Kui Yu,UF,3952,0.2363
1976,BUKIT PANJANG,na,Ho Juan Thai,WP,5731,0.3257
1976,BUKIT PANJANG,na,Lee Yiok Seng,PAP,11867,0.6743
1976,BUKIT TIMAH,na,Chor Yeok Eng,PAP,na,na
1976,BUONA VISTA,na,Ang Kok Peng,PAP,12704,0.8275
1976,BUONA VISTA,na,Hashim bin Mukayat,UPF,2649,0.1725
1976,CAIRNHILL,na,Chiam See Tong,Independent,3726,0.3183
1976,CAIRNHILL,na,Lim Kim San,PAP,7979,0.6817
1976,CHANGI,na,Teo Chong Tee,PAP,12038,0.7263
1976,CHANGI,na,Zainal Abiden bin Mohd Ali,WP,4537,0.2737
1976,CHUA CHU KANG,na,Chan Keng Sieng,WP,5336,0.3125
1976,CHUA CHU KANG,na,Tang See Chim,PAP,11740,0.6875
1976,DELTA,na,Ng Ho,UF,3286,0.236
1976,DELTA,na,Yeo Choo Kok,PAP,10636,0.764
1976,FARRER PARK,na,Lee Chiaw Meng,PAP,na,na
1976,GEYLANG EAST,na,Ho Cheng Choon,PAP,9405,0.6849
1976,GEYLANG EAST,na,Kum Teng Hock,WP,4326,0.3151
1976,GEYLANG SERAI,na,Amnah bte Kuong Hussein,PKMS,3129,0.2364
1976,GEYLANG SERAI,na,Darus bin Shariff,UPF,1326,0.1002
1976,GEYLANG SERAI,na,Rahmat bin Kenap,PAP,8780,0.6634
1976,GEYLANG WEST,na,Lim Tiong Hock,UF,4822,0.2882
1976,GEYLANG WEST,na,Yong Nyuk Lin,PAP,11912,0.7118
1976,HAVELOCK,na,Hon Sui Sen,PAP,9250,0.7929
1976,HAVELOCK,na,Ngoei Soon On,WP,2416,0.2071
1976,HENDERSON,na,Hoe Boon Teck,WP,4338,0.2523
1976,HENDERSON,na,Lai Tha Chai,PAP,12857,0.7477
1976,JALAN BESAR,na,Chan Chee Seng,PAP,na,na
1976,JALAN KAYU,na,Hwang Soo Jin,PAP,8883,0.6157
1976,JALAN KAYU,na,M P D Nair,WP,5544,0.3843
1976,JOO CHIAT,na,M. Ameer Batcha,WP,3247,0.2527
1976,JOO CHIAT,na,Yeoh Ghim Seng,PAP,9601,0.7473
1976,JURONG,na,Ho Kah Leong alias Ho Kah Leung,PAP,na,na
1976,KALLANG,na,Chan Yoke Kwong,UF,4175,0.261
1976,KALLANG,na,S. Dhanabalan,PAP,11823,0.739
1976,KAMPONG CHAI CHEE,na,"Fong Sip Chee, Andrew",PAP,10729,0.5992
1976,KAMPONG CHAI CHEE,na,J. B. Jeyaretnam,WP,7177,0.4008
1976,KAMPONG GLAM,na,Ang Bee Lian,UPF,3241,0.1982
1976,KAMPONG GLAM,na,S. Rajaratnam,PAP,13114,0.8018
1976,KAMPONG KEMBANGAN,na,Mansor Sukaimi,PAP,8028,0.6402
1976,KAMPONG KEMBANGAN,na,R. Murugason,WP,4511,0.3598
1976,KAMPONG UBI,na,Sahid Bin Sahooman,PKMS,6101,0.3154
1976,KAMPONG UBI,na,Ya'acob bin Mohamed,PAP,13241,0.6846
1976,KATONG,na,J. F. Conceicao,PAP,10721,0.7618
1976,KATONG,na,William Cook,UF,3353,0.2382
1976,KHE BONG,na,Ho See Beng,PAP,10950,0.7433
1976,KHE BONG,na,Sim Say Chuan,BS,3782,0.2567
1976,KIM KEAT,na,Chin Tian Choo,BS,4353,0.2338
1976,KIM KEAT,na,Ong Teng Cheong,PAP,14262,0.7662
1976,KIM SENG,na,Chiang Seok Keong,WP,3159,0.2235
1976,KIM SENG,na,Ong Leong Boon,PAP,10975,0.7765
1976,KOLAM AYER,na,R. Chetty,UF,5007,0.2754
1976,KOLAM AYER,na,Sidek bin Saniff,PAP,13175,0.7246
1976,KRETA AYER,na,Goh Keng Swee,PAP,na,na
1976,KUO CHUAN,na,Ng Ah Chue,BS,4100,0.2558
1976,KUO CHUAN,na,P. Selvadurai,PAP,11931,0.7442
1976,LENG KEE,na,Ng Lep Chong,UF,4043,0.2324
1976,LENG KEE,na,Ow Chin Hock,PAP,13356,0.7676
1976,MACPHERSON,na,Chua Sian Chin,PAP,na,na
1976,MARINE PARADE,na,Goh Chok Tong,PAP,14418,0.7862
1976,MARINE PARADE,na,Monsor Rahman,UF,3922,0.2138
1976,MOULMEIN,na,Balakrishnan,WP,2766,0.2347
1976,MOULMEIN,na,Lee Nai Choo,Independent,447,0.038
1976,MOULMEIN,na,Sia Khoon Seong,PAP,8571,0.7273
1976,MOUNTBATTEN,na,Ng Yeow Chong,PAP,9412,0.6586
1976,MOUNTBATTEN,na,Seow Khee Leng,UF,4878,0.3414
1976,NEE SOON,na,Ong Soo Chuan,PAP,na,na
1976,PASIR PANJANG,na,Othman bin Wok,PAP,8138,0.7193
1976,PASIR PANJANG,na,Zainal Abiddin bin Mohd Shah,WP,3176,0.2807
